Position,Title,Title Type,Runtime,Year,Genres,Directors
152,The Freshman,movie,77,1925,"Comedy, Family, Music, Romance, Sport","Fred C. Newmeyer, Sam Taylor"
153,From Here to Eternity,movie,118,1953,"Drama, Romance, War",Fred Zinnemann
154,From the Manger to the Cross,movie,60,1912,"Biography, Drama",Sidney Olcott
155,The Front Page,movie,101,1931,"Comedy, Crime, Drama, Mystery, Romance",Lewis Milestone
156,Funny Girl,movie,151,1968,"Biography, Comedy, Drama, Musical, Romance",William Wyler
157,Fury,movie,92,1936,"Crime, Drama, Film-Noir, Thriller",Fritz Lang
158,The Gang's All Here,movie,103,1943,"Music, Musical, Romance",Busby Berkeley
159,The General,movie,67,1926,"Action, Adventure, Comedy, Drama, War","Buster Keaton, Clyde Bruckman"
160,Ghostbusters,movie,105,1984,"Action, Comedy, Fantasy, Sci-Fi",Ivan Reitman
161,Giant,movie,201,1956,"Drama, Western",George Stevens
162,Gigi,movie,115,1958,"Comedy, Musical, Romance","Charles Walters, Vincente Minnelli"
163,Gilda,movie,110,1946,"Drama, Film-Noir, Romance, Thriller",Charles Vidor
164,The Godfather,movie,175,1972,"Crime, Drama",Francis Ford Coppola
165,The Godfather Part II,movie,202,1974,"Crime, Drama",Francis Ford Coppola
166,Going My Way,movie,126,1944,"Comedy, Drama, Music",Leo McCarey
167,Gold Diggers of 1933,movie,97,1933,"Comedy, Drama, Musical",Mervyn LeRoy
168,The Gold Rush,movie,95,1925,"Adventure, Comedy, Drama, Romance, Western",Charles Chaplin
169,Gone with the Wind,movie,238,1939,"Drama, Romance, War","Sam Wood, George Cukor, Victor Fleming"
170,GoodFellas,movie,145,1990,"Biography, Crime, Drama",Martin Scorsese
171,The Graduate,movie,106,1967,"Comedy, Drama, Romance",Mike Nichols
172,Grand Hotel,movie,112,1932,"Drama, Romance",Edmund Goulding
173,The Grapes of Wrath,movie,129,1940,Drama,John Ford
174,The Great Dictator,movie,125,1940,"Comedy, Drama, War",Charles Chaplin
175,Greed,movie,140,1924,"Drama, Thriller, Western",Erich von Stroheim
176,Groundhog Day,movie,101,1993,"Comedy, Drama, Fantasy, Romance",Harold Ramis
177,Gun Crazy,movie,87,1950,"Crime, Drama, Film-Noir, Romance, Thriller",Joseph H. Lewis
178,Gunga Din,movie,117,1939,"Adventure, Comedy, War",George Stevens
179,Hail the Conquering Hero,movie,101,1944,"Comedy, War",Preston Sturges
180,Hallelujah,movie,109,1929,"Drama, Musical",King Vidor
181,Halloween,movie,91,1978,"Horror, Thriller",John Carpenter
182,Hands Up!,movie,60,1926,"Action, Comedy, War",Clarence G. Badger
183,Harold and Maude,movie,91,1971,"Comedy, Drama, Romance",Hal Ashby
184,The Heiress,movie,115,1949,"Drama, Romance",William Wyler
185,Hell's Hinges,movie,64,1916,"Romance, Western","Charles Swickard, Clifford Smith, William S. Hart"
186,Hester Street,movie,89,1975,"Drama, Romance",Joan Micklin Silver
187,High Noon,movie,85,1952,"Drama, Thriller, Western",Fred Zinnemann
188,His Girl Friday,movie,92,1940,"Comedy, Drama, Romance",Howard Hawks
189,The Hitch-Hiker,movie,71,1953,"Crime, Drama, Film-Noir, Thriller",Ida Lupino
190,Hoosiers,movie,114,1986,"Drama, Sport",David Anspaugh
191,The Hospital,movie,103,1971,"Comedy, Drama, Mystery",Arthur Hiller
192,House of Usher,movie,79,1960,"Drama, Horror",Roger Corman
193,House of Wax,movie,88,1953,Horror,André De Toth
194,How Green Was My Valley,movie,118,1941,"Drama, Family",John Ford
195,How the West Was Won,movie,164,1962,Western,"George Marshall, John Ford, Henry Hathaway, Richard Thorpe"
196,Humoresque,movie,60,1920,"Drama, War",Frank Borzage
197,The Hustler,movie,134,1961,"Drama, Sport",Robert Rossen
198,I Am a Fugitive from a Chain Gang,movie,92,1932,"Crime, Drama, Film-Noir",Mervyn LeRoy
199,Imitation of Life,movie,111,1934,"Comedy, Drama, Romance",John M. Stahl
200,Imitation of Life,movie,125,1959,Drama,Douglas Sirk
201,In a Lonely Place,movie,94,1950,"Drama, Film-Noir, Mystery, Romance, Thriller",Nicholas Ray
202,In Cold Blood,movie,134,1967,"Biography, Crime, Drama, History",Richard Brooks
203,In the Heat of the Night,movie,110,1967,"Drama, Mystery, Thriller",Norman Jewison
204,In the Land of the Head Hunters,movie,65,1914,"Drama, History",Edward S. Curtis
205,The Incredible Shrinking Man,movie,81,1957,"Horror, Sci-Fi",Jack Arnold
206,Intolerance: Love's Struggle Throughout the Ages,movie,163,1916,"Drama, History",D.W. Griffith
207,Invasion of the Body Snatchers,movie,80,1956,"Drama, Horror, Sci-Fi",Don Siegel
208,The Invisible Man,movie,71,1933,"Horror, Sci-Fi",James Whale
209,The Iron Horse,movie,150,1924,"History, Romance, Western",John Ford
210,It,movie,72,1927,"Comedy, Romance","Clarence G. Badger, Josef von Sternberg"
211,It Happened One Night,movie,105,1934,"Comedy, Romance",Frank Capra
212,It's a Gift,movie,68,1934,Comedy,Norman Z. McLeod
213,It's a Wonderful Life,movie,130,1946,"Drama, Family, Fantasy, Romance",Frank Capra
214,The Italian,movie,72,1915,Drama,Reginald Barker
215,Jailhouse Rock,movie,96,1957,"Drama, Music, Musical, Romance",Richard Thorpe
216,Jaws,movie,124,1975,"Adventure, Thriller",Steven Spielberg
217,The Jazz Singer,movie,88,1927,"Drama, Music, Musical, Romance",Alan Crosland
218,Jezebel,movie,104,1938,"Drama, Romance",William Wyler
219,Johnny Guitar,movie,110,1954,"Drama, Western",Nicholas Ray
220,Judgment at Nuremberg,movie,179,1961,"Drama, War",Stanley Kramer
221,The Kid,movie,68,1921,"Comedy, Drama, Family",Charles Chaplin
222,The Kidnappers Foil,short,23,1930,"Short, Crime, Family, Music",Melton Barker
223,Killer of Sheep,movie,80,1978,Drama,Charles Burnett
224,The Killers,movie,103,1946,"Crime, Drama, Film-Noir, Mystery",Robert Siodmak
225,King Kong,movie,100,1933,"Adventure, Horror, Sci-Fi","Ernest B. Schoedsack, Merian C. Cooper"
226,King of Jazz,movie,99,1930,"Animation, Comedy, Musical","John Murray Anderson, Walter Lantz"
227,Kiss Me Deadly,movie,106,1955,"Crime, Film-Noir, Mystery, Sci-Fi, Thriller",Robert Aldrich
228,Knute Rockne All American,movie,98,1940,"Biography, Drama, Family, Sport","Lloyd Bacon, William K. Howard"
229,Koyaanisqatsi,movie,86,1982,"Documentary, Music",Godfrey Reggio
230,L.A. Confidential,movie,138,1997,"Crime, Drama, Mystery, Thriller",Curtis Hanson
231,The Lady Eve,movie,94,1941,"Comedy, Romance",Preston Sturges
232,Lady Windermere's Fan,movie,120,1925,Comedy,Ernst Lubitsch
233,Lassie Come Home,movie,89,1943,"Adventure, Drama, Family",Fred M. Wilcox
234,The Last Command,movie,88,1928,"Drama, History, Romance, War",Josef von Sternberg
235,The Last of the Mohicans,movie,73,1920,"Action, Adventure, Drama, Romance, War","Clarence Brown, Maurice Tourneur"
236,The Last Picture Show,movie,118,1971,"Drama, Romance",Peter Bogdanovich
237,Laura,movie,88,1944,"Drama, Film-Noir, Mystery",Otto Preminger
238,Lawrence of Arabia,movie,218,1962,"Adventure, Biography, Drama, War",David Lean
239,A League of Their Own,movie,128,1992,"Comedy, Drama, Sport",Penny Marshall
240,The Learning Tree,movie,107,1969,Drama,Gordon Parks
241,Letter from an Unknown Woman,movie,87,1948,"Drama, Romance",Max Ophüls
242,The Life of Emile Zola,movie,116,1937,"Biography, Drama",William Dieterle
243,Little Big Man,movie,139,1970,"Adventure, Comedy, Drama, Western",Arthur Penn
244,Little Caesar,movie,79,1931,"Action, Crime, Drama, Romance",Mervyn LeRoy
245,Little Fugitive,movie,75,1953,"Drama, Family","Morris Engel, Ray Ashley, Ruth Orkin"
246,Little Miss Marker,movie,80,1934,"Adventure, Comedy, Drama, Family, Music",Alexander Hall
247,Lonesome,movie,69,1928,"Comedy, Drama, Romance",Pál Fejös
248,Lost Horizon,movie,132,1937,"Adventure, Drama, Fantasy, Mystery",Frank Capra
249,The Lost Weekend,movie,101,1945,"Drama, Film-Noir",Billy Wilder
250,The Lost World,movie,110,1925,"Adventure, Fantasy, Sci-Fi, Thriller",Harry O. Hoyt
251,Louisiana Story,movie,78,1948,"Adventure, Drama",Robert J. Flaherty
252,Love Finds Andy Hardy,movie,91,1938,"Comedy, Romance",George B. Seitz
253,Love Me Tonight,movie,104,1932,"Comedy, Musical, Romance",Rouben Mamoulian
254,The Magnificent Ambersons,movie,88,1942,"Drama, Romance","Robert Wise, Fred Fleck, Orson Welles"
255,The Magnificent Seven,movie,128,1960,"Action, Adventure, Western",John Sturges
256,Make Way for Tomorrow,movie,91,1937,"Drama, Romance",Leo McCarey
257,Malcolm X,movie,202,1992,"Biography, Drama, History",Spike Lee
258,The Maltese Falcon,movie,100,1941,"Crime, Film-Noir, Mystery, Romance",John Huston
259,The Man Who Shot Liberty Valance,movie,123,1962,"Drama, Western",John Ford
260,The Manchurian Candidate,movie,126,1962,"Drama, Thriller",John Frankenheimer
261,Manhattan,movie,96,1979,"Comedy, Drama, Romance",Woody Allen
262,The Mark of Zorro,movie,79,1920,"Adventure, Romance, Western",Fred Niblo
263,The Mark of Zorro,movie,94,1940,"Action, Adventure, Family, Romance, Western",Rouben Mamoulian
264,Marty,movie,90,1955,"Drama, Romance",Delbert Mann
265,Mary Poppins,movie,139,1964,"Comedy, Family, Fantasy, Musical",Robert Stevenson
266,M*A*S*H,movie,116,1970,"Comedy, Drama, War",Robert Altman
267,The Matrix,movie,136,1999,"Action, Sci-Fi","Lilly Wachowski, Lana Wachowski"
268,McCabe & Mrs. Miller,movie,120,1971,"Drama, Western",Robert Altman
269,Mean Streets,movie,112,1973,"Crime, Drama, Thriller",Martin Scorsese
270,Medium Cool,movie,111,1969,Drama,Haskell Wexler
271,Meet Me in St. Louis,movie,113,1944,"Comedy, Drama, Family, Musical, Romance",Vincente Minnelli
272,Melody Ranch,movie,84,1940,Western,Joseph Santley
273,Midnight,movie,94,1939,"Comedy, Romance",Mitchell Leisen
274,Midnight Cowboy,movie,113,1969,Drama,John Schlesinger
275,Mildred Pierce,movie,111,1945,"Crime, Drama, Film-Noir, Mystery, Romance",Michael Curtiz
276,The Miracle of Morgan's Creek,movie,98,1944,"Comedy, Romance, War",Preston Sturges
277,Miracle on 34th Street,movie,96,1947,"Comedy, Drama, Family",George Seaton
278,Miss Lulu Bett,movie,71,1921,"Comedy, Drama",William C. de Mille
